时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-2-26 15:16:24.813	WT3(F3:2A:15:68:55:37)	-0.226	0.058	0.985	2.014	0.977	0.000	4.62	12.73	-23.09	-29.800	34.627	8.900	null	null	null	null	null	null	0.97186	0.06192	0.10071	-0.20349	22.4	10080.1.21	100
2026-2-26 15:16:24.840	WT4(FA:E0:7F:9A:F3:3E)	0.764	-0.199	0.625	-0.916	-1.282	0.244	-13.99	-49.17	110.01	-31.500	18.000	-48.360	null	null	null	null	null	null	0.55997	0.27319	-0.32513	0.71130	23.1	10080.1.21	100
2026-2-26 15:16:24.892	WT1(D0:8E:86:5B:BD:44)	-0.114	0.996	-0.013	-6.226	4.272	1.526	-1.30	-4.84	-148.83	-11.600	-18.300	16.740	null	null	null	null	null	null	0.15668	0.22394	-0.66205	-0.69775	21.1	10080.1.21	100
2026-2-26 15:16:24.903	WT3(F3:2A:15:68:55:37)	-0.229	0.070	0.976	-0.854	-0.366	-0.854	4.64	12.77	-23.15	-29.800	34.627	8.900	null	null	null	null	null	null	0.97186	0.06192	0.10071	-0.20349	22.4	10080.1.21	100
2026-2-26 15:16:24.914	WT2(CA:F4:44:5B:2A:5C)	-0.435	0.751	0.500	-1.709	-0.122	-2.319	54.51	24.07	-93.29	-7.600	-12.900	-28.953	null	null	null	null	null	null	0.52728	0.44284	-0.19376	-0.69873	22.1	10080.1.21	100
2026-2-26 15:16:24.985	WT4(FA:E0:7F:9A:F3:3E)	0.767	-0.211	0.630	1.221	-0.488	-2.747	-14.02	-49.10	109.99	-31.500	18.000	-48.360	null	null	null	null	null	null	0.55997	0.27319	-0.32513	0.71130	23.1	10080.1.21	100
2026-2-26 15:16:24.986	WT3(F3:2A:15:68:55:37)	-0.218	0.063	0.979	0.305	-3.906	-0.488	4.60	12.73	-23.20	-30.300	38.240	8.900	null	null	null	null	null	null	0.97186	0.06192	0.10071	-0.20349	22.4	10080.1.21	100
2026-2-26 15:16:24.986	WT2(CA:F4:44:5B:2A:5C)	-0.436	0.745	0.498	-1.770	-1.221	0.610	54.51	23.96	-93.33	-7.600	-12.900	-28.953	null	null	null	null	null	null	0.52795	0.44116	-0.19348	-0.69934	22.1	10080.1.21	100
2026-2-26 15:16:25.12	WT1(D0:8E:86:5B:BD:44)	-0.106	0.965	0.009	2.930	-0.977	0.183	-1.26	-4.97	-148.68	-11.600	-18.300	16.740	null	null	null	null	null	null	0.15668	0.22394	-0.66205	-0.69775	21.1	10080.1.21	100
2026-2-26 15:16:25.23	WT4(FA:E0:7F:9A:F3:3E)	0.755	-0.195	0.631	2.563	2.808	-1.526	-13.60	-48.92	109.66	-31.500	18.000	-48.360	null	null	null	null	null	null	0.56107	0.27344	-0.32358	0.71109	23.1	10080.1.21	100
2026-2-26 15:16:25.87	WT3(F3:2A:15:68:55:37)	-0.213	0.064	0.997	-0.732	-2.075	0.122	4.48	12.63	-23.21	-30.300	38.240	8.900	null	null	null	null	null	null	0.97186	0.06192	0.10071	-0.20349	22.4	10080.1.21	100
2026-2-26 15:16:25.93	WT2(CA:F4:44:5B:2A:5C)	-0.434	0.759	0.520	-2.136	-0.549	0.122	54.33	23.88	-93.38	-7.600	-12.900	-28.953	null	null	null	null	null	null	0.52795	0.44116	-0.19348	-0.69934	22.1	10080.1.21	100
2026-2-26 15:16:25.102	WT1(D0:8E:86:5B:BD:44)	-0.103	1.002	0.010	-2.869	-1.648	0.732	-1.50	-5.06	-148.40	-13.000	-17.600	13.727	null	null	null	null	null	null	0.15668	0.22394	-0.66205	-0.69775	21.1	10080.1.21	100
2026-2-26 15:16:25.143	WT4(FA:E0:7F:9A:F3:3E)	0.763	-0.194	0.636	1.892	1.099	-2.747	-13.34	-48.77	109.47	-31.500	18.000	-48.360	null	null	null	null	null	null	0.56107	0.27344	-0.32358	0.71109	23.1	10080.1.21	100
2026-2-26 15:16:25.181	WT3(F3:2A:15:68:55:37)	-0.241	0.059	0.984	-0.610	-0.549	-1.465	4.41	12.63	-23.29	-30.300	38.240	8.900	null	null	null	null	null	null	0.97168	0.05945	0.10007	-0.20544	22.4	10080.1.21	100
2026-2-26 15:16:25.182	WT2(CA:F4:44:5B:2A:5C)	-0.457	0.728	0.520	-3.113	-1.099	-0.854	54.22	23.81	-93.49	-7.600	-13.500	-28.720	null	null	null	null	null	null	0.52795	0.44116	-0.19348	-0.69934	22.1	10080.1.21	100
2026-2-26 15:16:25.226	WT1(D0:8E:86:5B:BD:44)	-0.112	1.015	0.036	12.756	-4.211	-3.174	-1.25	-4.99	-148.35	-13.000	-17.600	13.727	null	null	null	null	null	null	0.15668	0.22394	-0.66205	-0.69775	21.1	10080.1.21	100
2026-2-26 15:16:25.232	WT4(FA:E0:7F:9A:F3:3E)	0.765	-0.186	0.635	-2.075	-3.418	-0.061	-13.32	-48.98	109.34	-30.800	20.800	-46.520	null	null	null	null	null	null	0.56107	0.27344	-0.32358	0.71109	23.1	10080.1.21	100
2026-2-26 15:16:25.294	WT3(F3:2A:15:68:55:37)	-0.215	0.056	0.966	0.610	-1.648	0.122	4.37	12.60	-23.43	-30.300	38.240	8.900	null	null	null	null	null	null	0.97168	0.05945	0.10007	-0.20544	22.4	10080.1.21	100
2026-2-26 15:16:25.303	WT2(CA:F4:44:5B:2A:5C)	-0.423	0.722	0.523	0.183	-0.305	2.502	54.09	23.61	-93.58	-7.600	-13.500	-28.720	null	null	null	null	null	null	0.52795	0.44116	-0.19348	-0.69934	22.1	10080.1.21	100
2026-2-26 15:16:25.308	WT1(D0:8E:86:5B:BD:44)	-0.129	1.021	-0.004	-3.601	-2.747	-2.502	-0.83	-5.04	-147.03	-13.000	-17.600	13.727	null	null	null	null	null	null	0.16602	0.23181	-0.66028	-0.69470	21.1	10080.1.21	100
2026-2-26 15:16:25.355	WT4(FA:E0:7F:9A:F3:3E)	0.758	-0.194	0.634	-0.977	1.526	1.648	-13.68	-49.05	109.59	-30.800	20.800	-46.520	null	null	null	null	null	null	0.56107	0.27344	-0.32358	0.71109	23.1	10080.1.21	100
